"tweets","class"
"Amazon be investigate chinese employee who be sell internal datum to third - party seller look for an edge in the competitive marketplace . URL # Amazon # MAGA # kag # CHINA # tcot",0
"@USER @USER Obama want liberal & amp ; illegal to move into red state",0
"@USER buy more icecream ! ! !",0
"@USER @USER @USER -PRON- ’ not -PRON- fault -PRON- support gun control",0
"@USER what ’ the difference between # Kavanaugh and @USER    one of these man admit to grope a 15 year old girl year ago .   the other be go to be # confirm to the SCJ    # DemsareFrauds # demsaredone    # WalkAwayDemocrats2018 # redwave # VoteRedSaveAmerica # trumptrain # maga url",0
"@USER @USER @USER -PRON- should scare every American !   -PRON- be play Hockey with a warped puck !",0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER -PRON- like -PRON- soda like -PRON- like -PRON- boarder with a lot of ice .",0
"@USER -PRON- be also the king of taste",0
"# MAGA @USER   🎶 sing like no one be listen   ♥ ️ love like -PRON- have never be hurt   ✔ ️ Vote GOP when no one be watch   🙉   and do not listen to Liberals ' dirt url",0
"5/5 : @USER the time be right for this House to respond to the concern of all Canadians . four out of five Canadians support strong gun control and with good reason . "" # guncontrol # cdnpoli # cdnhist """,0
"@USER besides Jax ’s mom and maybe Ope -PRON- be hand down -PRON- favorite -PRON- ’ like the only good person on the show 😂",0
"@USER @USER -PRON- be correct .",0
"@USER Been a Willie fan since before most of -PRON- be bear .... LOVE that -PRON- be hold a rally with Beto .... exactly which fan be furious ?   Could -PRON- give some specific ? URL",0
"south korean Official : "" leader will discuss specific denuke measure in Pyongyang "" ""   url # TCOT # maga # rednationrising """,0
"@USER @USER -PRON- can tell -PRON- be a hooper too",0
"@USER -PRON- feel like -PRON- be better chase the title",0
"@USER Glad to see -PRON- friend be support Metis right as much as -PRON- be support Zionists . url",0
"@USER yes -PRON- be but -PRON- be ask what be -PRON- about the movie ? 🤷 ‍ ♂ ️ 👀",0
"@USER no wonder -PRON- be be apologetic and more social these day ....",0
"@USER @USER @USER any update re end -PRON- blatant # racism as # Windrush & amp ; # Grenfell prove -PRON- be   @USER @USER # alloutpolitic # politicslive # pmq @USER url",0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER do -PRON- know what ’ go to happen now ?   -PRON- be go to have to lay in bed and cry while -PRON- listen to Kelly Clarkson . thank free speech antifa .",0
"@USER Blow hard",0
"@USER @USER @USER that mean -PRON- be a max lvl . twitter user and maybe should try a new game",0
"@USER @USER please explain what control opposition "" mean .   as for Bernier escaping , -PRON- split with the rest of the Conservatives because -PRON- be even more racist and exclusionary than -PRON- want to be . """,0
"@USER @USER @USER @USER @USER Socialists politic that stand up for the downtrodden . and well do for conflate criticism of Israel with anti semitism . -PRON- be also part of the problem .",0
"3 . Nina   one of the reason -PRON- do not read this book for so long be because -PRON- be so worried about -PRON- character . -PRON- should have trust everyone . Nina be a goddamn goddess -PRON- would die for a thousand time over . -PRON- be big and bold and lovely and PERFECT . her ARC . be . PERFECT .",0
".@user @USER @USER @USER @USER   PLEASE vote no on Kavanaugh . -PRON- be not fit for SCOTUS and allegation about woman and shady financial should disqualify -PRON- .     # RuleOfLaw matter . # MeToo # countryoverparty # WithdrawKavanaugh   # StopKavanaugh",0
"@USER @USER Ppl who say -PRON- be not racist "" be racist . -PRON- be a racist . repeat after -PRON- """,0
"@USER Kathy the Patriot 🗽   you have to love -PRON- GREAT PRESIDENT TRUMP ! ! !   a SPINE of U.S. STEEL ! ! change it ! ON TRADE & amp ; everything for american ! ! # AMERICAFIRST # USA # MAGA # LEADERSHIP & amp ; # respect # economy # JOBS # peacethrustrength # GOD # BLESS # TRUMP & amp ; # THEUSA      😀 🗽 🗽 🗽 😀",0
"@USER wow -PRON- liberal really do not have a sense of humor . 🙄",0
"@USER I'M so FUCKING READY",0
"@USER Holy moly ! ! if the catholic people have not be awaken by this ..... # FalseProphet   # Lunatic",0
"@USER Lol yeah per dina -PRON- be there everyday per claudia no horse get vet care unless -PRON- be for donation example limp etc",0
"@USER @USER @USER what a surprise .... same as antifa . blm and so on and so on . Soros be Americas bad enemy in history . -PRON- believe the only way to take down the USA be from withe . and -PRON- s right . but -PRON- be not gunna happen .",0
"@USER -PRON- too ! -PRON- wedding be the good ! -PRON- be very pretty !",0
"@USER @USER no conflict here — don’t look at this .   # Soros involve in violent left agenda of Antifa also .",0
"@USER @USER @USER url any of -PRON- announcement every come to fruition or be -PRON- basically steal Labour 's idea to get a few more vote",0
